Product ID,SKU,Description
1285,300-01,"White hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1286,300-02,"Orange hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1287,300-04,"Burgundy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark red bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1288,300-05,"Dark purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1289,300-06,"Purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1290,300-07,"Light purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1291,300-08,"Turquoise hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1292,300-09,"Navy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark blue silk bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1293,300-10,"Blue hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1477,400-01,"White self-tie bow tie from Scottsberry, hand-sewn in the finest silk. With a focus on quality and functionality, this is an affordable bow tie that you tie yourself. It has an adjustable strap that fits all neck sizes up to a 50 cm circumference. The strap can be opened, making it easy to put on and take off the bow tie without having to untie it. Swedish design. Comes in an elegant velvet pouch."
1478,400-02,"Orange self-tie bow tie from Scottsberry, hand-sewn in the finest silk. With a focus on quality and functionality, this is an affordable bow tie that you tie yourself. It has an adjustable strap that fits all neck sizes up to a 50 cm circumference. The strap can be opened, making it easy to put on and take off the bow tie without having to untie it. Swedish design. Comes in an elegant velvet pouch."
1479,400-03,"Light red self-tie bow tie sewn by hand in 100% silk. With a focus on design and functionality, we have developed a bow tie that you tie on your own. Without intermediaries, we can offer low prices without compromising on quality. The widest part of the bow tie is 6 cm and it has an adjustable strap that fits all neck measurements up to a circumference of 50 cm. Swedish design. Delivered in an elegant velvet pouch."
1480,400-04,"Burgundy self-tie bow tie from Scottsberry, hand-sewn in the finest silk. With a focus on quality and functionality, this is an affordable bow tie that you tie yourself. It has an adjustable strap that fits all neck sizes up to a 50 cm circumference. The strap can be opened, making it easy to put on and take off the bow tie without having to untie it. Swedish design. Comes in an elegant velvet pouch."
